kStyleOptionsType;ISFNTLayoutTypes
kCGLFEglRasterPos3dv;ICGLProfilerFunctionEnum
kTransportDataTypeACL;IIOBluetoothHCIController.HCIDataHandlerTypes
kUSBConfDesc;IUSBSpec
kLSUnknownType;ILSInfo
kSecReadPermStatus;ISecKeychain
kUSBEndPtShift;IUSB
kUSBVideoStreamingSubClass;IUSBSpec
kATSLineDisableAllBaselineAdjustments;IATSLayoutTypes
kControlKindTabs;IHITabbedView
nanoseconds_to_absolutetime;Iclock
kHIDUsage_PID_SetConstantForceReport;IIOHIDUsageTables
kAXErrorNoValue;IAXError
kLSItemInfoIsInvisible;ILSInfo
kEditTextDialogItem;IDialogs
kLSRequestAllInfo;ILSInfo
CSSM_PVC_NONE;Icssmtype
notPatCopy;IQuickdrawTypes
errWindowNotFound;IMacErrors
DRHFSPlusTextEncodingHint;IDRFSObject
badServiceMethodErr;IMacErrors
VREG;Ivnode.vtype
kUCGenlCatOtherFormat;ITextCommon
DRVerificationTypeChecksum;IDRTrack
eDSContinue;IDirServicesTypes.tDirStatus
NSTextDidEndEditingNotification;INSText
kIOURLUnknownPropertyKeyError;IIOCFURLAccess.IOURLError
kABPhoneMainLabel;IABGlobalsC
wInStructure;IMacWindows
kIOPMGoodValue;IIOPM
NSRelativeAfter;INSScriptObjectSpecifiers
smKanaSoftOK;IScript
kABAIMInstantProperty;IABGlobalsC
kUSBbEndpointDirectionMask;IUSBSpec
IOHIDGetScrollAcceleration;IIOHIDLib
NSJPEGFileType;INSBitmapImageRep
INET_TCP;IOpenTransportProviders
CGLUnlockContext;IOpenGL
kUCGenlCatSymbolMath;ITextCommon
kNumberSpacingType;ISFNTLayoutTypes
kInvalidFont;IATSTypes
kExtInt9_NMIIntSource;IAppleNMI
midiVConnectRmvd;IMacErrors
kMacHebrewStandardVariant;ITextCommon
mATASectorNumValid;IIOATATypes.ataRegMask
suspendResumeMessage;IEvents
kLSItemInfoAppPrefersClassic;ILSInfo
kTextEncodingMacCeltic;ITextCommon
kHIDUsage_Tfon_Message;IIOHIDUsageTables
ttNone;IIcons
kHIDKeyboardInterfaceProtocol;IUSBSpec
kSecAttrAuthenticationTypeHTMLForm;ISecItem
NSDescendingPageOrder;INSPrintOperation
CSSM_WORDID_VENDOR_START;Icssmtype
smTradChinese;IScript
bufferIsSmall;IMacErrors
kSecMatchTrustedOnly;ISecItem
langEstonian;IScript
IncrementAtomic8;IDriverSynchronization
noHardwareErr;IMacErrors
kBluetoothSDPAttributeIdentifierIconURL;IBluetoothAssignedNumbers.SDPAttributeIdentifierCodes
kHIDUsage_Sim_SpaceshipSimulationDevice;IIOHIDUsageTables
kTPHIDClaimPendingRead;IUSBTracepoints
kEINTRErr;IMacErrors
kHIDUsage_KeyboardErrorRollOver;IIOHIDUsageTables
nrExitedIteratorScope;IIONDRVLibraries
NSStringFromRect;INSGeometry
mATAFlagTFAccess;IIOATATypes.ataFlags
dot3VendorFujitsu;Iif_mib.dot3Vendors
vmInvalidOwningProcessErr;IMacErrors
kReturnCharCode;IEvents
kIODirectionOutIn;IIOMemoryDescriptor.IODirection
kURLAuthenticationError;IMacErrors
kCGLFEglLighti;ICGLProfilerFunctionEnum
kDRErrorStatusErrorInfoStringKey;IDRCoreErrors
kCGLFEglLightf;ICGLProfilerFunctionEnum
kICADeviceIOServicePathNotFoundErr;IICAApplication
eWSDoubleType;IWSTypes.WSTypeID
kCGLFEglIndexubv;ICGLProfilerFunctionEnum
_MALLOC_ZONE;Imalloc
kPMLastAggressivenessType;IIOPM
IOHIDCopyCFTypeParameter;IIOHIDLib
kPDFTextFieldArea;IPDFView
kBluetoothSDPUUID16UDP;IBluetoothAssignedNumbers
kHIDUsage_Csmr_Assign;IIOHIDUsageTables
type42GXStreamType;IScalerStreamTypes
kSRRecognitionCanceled;ISpeechRecognition
kIOUCVariableStructureSize;IIOUserClient
kCGLFEglBindFramebufferEXT;ICGLProfilerFunctionEnum
kNativeEndianPixMap;IQDOffscreen
kHIDUsage_AD_ErrFontdatacannotberead;IIOHIDUsageTables
NSCharacterShapeAttributeName;INSAttributedString
kIODebuggerLockTaken;IIOKernelDebugger.IODebuggerLockState
kStreamReadEvent;IOpenTransport
NSToolbarSpaceItemIdentifier;INSToolbarItem
LSCopyDisplayNameForURL;ILSInfo
DRBibliographicFile;IDRTrack
kDRSystemIdentifier;IDRContentProperties
kUSBStandard;IUSBSpec
kDMDisplayAlreadyInstalledErr;IMacErrors
kHIThemeHeaderKindList;IHITheme
kvImageGetTempBufferSize;IvImage_Types
PMUnflattenPrintSettingsWithCFData;IPMCoreDeprecated
kHIDUsage_BS_BattPackModelLevel;IIOHIDUsageTables
baseAddr32;IQuickdrawTypes
NSFileDeviceIdentifier;INSFileManager
resPreload;IResources
kUSBInterfaceUserClientClearPipeStall;IIOUSBUserClient
kAXErrorNotImplemented;IAXError
kHIViewGetsFocusOnClick;IHIView
HIDictionaryWindowShow;IMacApplication
kEUC_CN_BasicVariant;ITextCommon
NPVariantType_Int32;Inpruntime.NPVariantType
kTXNEndIterationErr;IMacErrors
kCGLFEglGetUniformLocationARB;ICGLProfilerFunctionEnum
kInvalidCSClientErr;IMacErrors
century;IIntlResources
kDeepestColorScreen;IColorPicker
kDRCDTextGenreCodeContemporaryChristian;IDRCoreCDText
kSCSIServiceAction_REPORT_DEVICE_IDENTIFIER;ISCSICommandOperationCodes
NSWorkspaceVolumeOldURLKey;INSWorkspace
kMenuNonmarkingReturnGlyph;IMenus
langGreenlandic;IScript
kSCSICmd_SPARE_OUT;ISCSICommandOperationCodes
kENOTCONNErr;IMacErrors
MBUF_EXT;Ikpi_mbuf
kATSLineHasNoHangers;IATSLayoutTypes
kUCGenlCatOtherControl;ITextCommon
eDSBadDataNodeFormat;IDirServicesTypes.tDirStatus
kINQUIRY_RESPONSE_DATA_FORMAT_Mask;ISCSICmds_INQUIRY_Definitions
kTextEncodingDOSPortuguese;ITextCommon
kIOPMRestart;IIOPM
kSCSICmd_READ_TOC_PMA_ATIP;ISCSICommandOperationCodes
telBadLevelErr;IMacErrors
osEvtMessageMask;IEvents
TBADSEQ;IOpenTransport
sepNotIntlSep;IDateTimeUtils
kControlPushButtonIconOnRight;IHIButtonViews
kHIDUsage_LED_NumLock;IIOHIDUsageTables
NSUnderlineByWordMask;INSAttributedString
kIOMediaAttributeEjectableMask;IIOMedia
kSecGuestAttributeCanonical;ISecCode
lck_mtx_assert;Ilocks
kATADMAStatus;IIOPCIATA.ATADMAState
kHIDUsage_BCS_BarCodePresentSensor;IIOHIDUsageTables
kNMIIntLevelMask;IAppleNMI
kBluetoothDeviceClassMinorAudioHeadset;IBluetoothAssignedNumbers
kLSLaunchAsync;ILSOpen
kUTTypeCHeader;IUTCoreTypes
kTextEncodingMacBengali;ITextCommon
LSRegisterURL;ILSInfo
NSDeleteCharFunctionKey;INSEvent
kHIDUsage_PID_BlockLoadSuccess;IIOHIDUsageTables
kUSBTooManyTransactionsErr;IMacErrors
kHIDUsage_BS_AtRate;IIOHIDUsageTables
kWindowAsyncDragAttribute;IMacWindows
CSSM_USEE_KRENT;Icssmtype
alcDestroyContext;Ialc
IKUISizeRegular;IIKFilterUI
DRFileForkResource;IDRFile
kRAInstallationDamaged;IMacErrors
kHIDUsage_Tfon_PriorityRingback;IIOHIDUsageTables
NSCellHighlighted;INSCell
nbpNISErr;IMacErrors
kAVCRecSubcodeInsertPause;IDVFamily
kIOPMPreventSystemSleep;IIOPM
kCGLFEglUniform1uivEXT;ICGLProfilerFunctionEnum
kCGLFEglMultiTexCoord2iv;ICGLProfilerFunctionEnum
kdbdmaPause;IIODBDMA
kHIDUsage_Csmr_ACSubscriptions;IIOHIDUsageTables
O_PROTO;Iip_fw2.ipfw_opcodes
volGoneErr;IMacErrors
gIODisplayVideoBestKey;IIODisplay
kUSBNoBandwidthError;IMacErrors
kQDCorruptPICTDataErr;IMacErrors
kHIDDispatchOptionKeyboardNoRepeat;IIOHIDEventService
check_task_access;Itask_access_server
kCGLFEglGetPolygonStipple;ICGLProfilerFunctionEnum
kHIDUsage_BS_ThermistorUnderRange;IIOHIDUsageTables
kDVDFeaturesHDRAMMask;IIOSCSIMultimediaCommandsDevice
kDVDKeyFormatRegionState;IIODVDTypes.DVDKeyFormat
CGLSetPBuffer;IOpenGL
kCJKVerticalRomanCenteredSelector;ISFNTLayoutTypes
kSecAttrProtocolIMAPS;ISecItem
kSRNoPendingUtterances;ISpeechRecognition
kCGLFEglMultiTexCoord2fv;ICGLProfilerFunctionEnum
dot3VendorAMD;Iif_mib.dot3Vendors
kUSBHSHubCommandRemoveHub;IIOUSBControllerV2
CSSM_WORDID__FIRST_UNUSED;Icssmapple
kIOAudioEngineResumedNotification;IIOAudioTypes.IOAudioEngineNotifications
badSectionErr;IMacErrors
medianMethod;IPictUtils
WebPlugInContainerKey;IWebPluginViewFactory
kIOFWAVCProtocolUserClientAllocateOutputPlug;IIOFireWireAVCUserClientCommon.IOFWAVCProtocolUserClientAsyncCommandCodes
kINQUIRY_PERIPHERAL_RMB_BitMask;ISCSICmds_INQUIRY_Definitions
kCGLFEglFeedbackBuffer;ICGLProfilerFunctionEnum
kHIToolbarDisplaySizeDefault;IHIToolbar
kHIDUsage_BCS_Code128ControlReport;IIOHIDUsageTables
kTPInterfaceUCReadPipe;IUSBTracepoints
kHIDUsage_BCS_ScannedDataReport;IIOHIDUsageTables
portNotCf;IMacErrors
kAVCEditSyncPlay;IDVFamily
kHIDUsage_BCS_UPC_E1;IIOHIDUsageTables
kMathSymbolsSelector;ISFNTLayoutTypes
kWindowDefSupportsColorGrafPort;IMacWindows
siInvalidCompression;IMacErrors
kErrataLSHSOpti;IIOUSBController
kBluetoothDeviceClassMinorImaging1Scanner;IBluetoothAssignedNumbers
T_MEMORYRELEASED;IOpenTransport
kUSBVideoControlSubClass;IUSBSpec
